Raonament:
1. **Comprendre les condicions:** El problema indica que Francesc només resoldrà problemes en fulls on la suma dels nombres de les dues cares sigui un quadrat perfecte o un cub perfecte.
2. **Entendre la numeració:** Les pàgines comencen a numerar-se des de 3, de manera que el primer full té les pàgines 3 i 4.  Si les pàgines comencen des de 3, la suma de cada full serà la suma de dos nombres consecutius, 3 i 4, 5 i 6, 7 i 8, etc.
    *   145 + 146 = 291 (Ni quadrat ni cub)
    *   146 + 147 = 293 (Ni quadrat ni cub)
    *   147 + 148 = 295 (Ni quadrat ni cub)
    *   148 + 149 = 297 (Ni quadrat ni cub)
    *   149 + 150 = 299 (Ni quadrat ni cub)
    *   150 + 151 = 301 (Ni quadrat ni cub)
    *   151 + 152 = 303 (Ni quadrat ni cub)
    *   152 + 153 = 305 (Ni quadrat ni cub)
    *   153 + 154 = 307 (Ni quadrat ni cub)
    *   154 + 155 = 309 (Ni quadrat ni cub)
    *   155 + 156 = 311 (Ni quadrat ni cub)
    *   156 + 157 = 313 (Ni quadrat ni cub)
    *   157 + 158 = 315 (Ni quadrat ni cub)
    *   158 + 159 = 317 (Ni quadrat ni cub)
    *   159 + 160 = 319 (Ni quadrat ni cub)
    *   160 + 161 = 321 (Ni quadrat ni cub)
    *   161 + 162 = 323 (Ni quadrat ni cub)
    *   162 + 163 = 325 (Ni quadrat ni cub)
    *   163 + 164 = 327 (Ni quadrat ni cub)
    *   164 + 165 = 329 (Ni quadrat ni cub)
    *   165 + 166 = 331 (Ni quadrat ni cub)
    *   166 + 167 = 333 (Ni quadrat ni cub)
    *   167 + 168 = 335 (Ni quadrat ni cub)
    *   168 + 169 = 337 (Ni quadrat ni cub)
    *   169 + 170 = 339 (Ni quadrat ni cub)
    *   170 + 171 = 341 (Ni quadrat ni cub)
    *   171 + 172 = 343 = 7^3 (Cub)
    *   172 + 173 = 345 (Ni quadrat ni cub)
    *   173 + 174 = 347 (Ni quadrat ni cub)
    *   174 + 175 = 349 (Ni quadrat ni cub)
    *   175 + 176 = 351 (Ni quadrat ni cub)
    *   176 + 177 = 353 (Ni quadrat ni cub)
    *   177 + 178 = 355 (Ni quadrat ni cub)
    *   178 + 179 = 357 (Ni quadrat ni cub)
    *   179 + 180 = 359 (Ni quadrat ni cub)

4. **Comptar els fulls correctes:** Els fulls correctes tenen les sumes:
    *   225 (Quadrat)
    *   289 (Quadrat)
    *   343 (Cub)
    *   **En total, són 3.**

Resposta: B) 2
