**Pregunta:** El cantant Skippy ha de fer una carrera d'obstacles representada esquemàticament en la figura a la dreta. Els quadrats omplerts indiquen bases d'aigua, i els nombres en tots els altres quadrats indiquen quantos quadrats han de botar Skippy en el segment següent comptant el quadrat sobre el qual està. Quants quadrats han de botar en el primer però Skippy perquè apugui a una extenció i sense tocar l'aigua?

**Opcions:**
A) 5
B) 3
C) 2
D) 1
E) És impossible.

**Racionalització:**
1. Observa la figura i nota els quadrats omplerts (bases d'aigua) i els nombres en els quadrats buits (quantos quadrats han de botar Skippy en el següent segment).
2. Comença amb el primer quadrat buit després de l'últim quadrat omplert (base d'aigua).
3. Segueix el nombre en el primer quadrat buit i botar aquest nombre de quadrats en el següent segment.
4. Repite aquest procés per a cada segment següent.
5. A la primera base d'aigua, Skippy ha de botar 2 quadrats.
108. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
109. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
110. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
111. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
112. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
113. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
114. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
115. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
116. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
117. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
118. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
119. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
120. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
121. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
122. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
123. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
124. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
125. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
126. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
127. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
128. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
129. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
130. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
131. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
132. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
133. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
134. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
135. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
136. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
137. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
138. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
139. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
140. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
141. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
142. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
143. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
144. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
145. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
146. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
147. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
148. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
149. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
150. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
151. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
152. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
153. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
154. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
155. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
156. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
157. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
158. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
159. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
160. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
161. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
162. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
163. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
164. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
165. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
166. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
167. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
168. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
169. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
170. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
171. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
172. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
173. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
174. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
175. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
176. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
177. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
178. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
179. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
180. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
181. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
182. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
183. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
184. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
185. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
186. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
187. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
188. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
189. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
190. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
191. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
192. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
193. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
194. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
195. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
196. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
197. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
198. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
199. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
200. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
201. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
202. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
203. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
204. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
205. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
206. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
207. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
208. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
209. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
210. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
211. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
212. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
213. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
214. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
215. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
216. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
217. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
218. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
219. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
220. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
221. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
222. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
223. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
224. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
225. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
226. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
227. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
228. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
229. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
230. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
231. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
232. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
233. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
234. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
235. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
236. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
237. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
238. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
239. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
240. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
241. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
242. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
243. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
244. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
245. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
246. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
247. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
248. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
249. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
250. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
251. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
252. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
253. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
254. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
255. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
256. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
257. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
258. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
259. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
260. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
261. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
262. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
263. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
264. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
265. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
266. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
267. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
268. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
269. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
270. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
271. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
272. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
273. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
274. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
275. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
276. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
277. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
278. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
279. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
280. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
281. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
282. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
283. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
284. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
285. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
286. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
287. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
288. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
289. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
290. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
291. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
292. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
293. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
294. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
295. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
296. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
297. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
298. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
299. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
300. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
301. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
302. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
303. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
304. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
305. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
306. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
307. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
308. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
309. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
310. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
311. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
312. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
313. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
314. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
315. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
316. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
317. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
318. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
319. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
320. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
321. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
322. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
323. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
324. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
325. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
326. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
327. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
328. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
329. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
330. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
331. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
332. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
333. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
334. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
335. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
336. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
337. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
338. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
339. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
340. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
341. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
342. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
343. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
344. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
345. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
346. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
347. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
348. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
349. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
350. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
351. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
352. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
353. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
354. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
355. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
356. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
357. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
358. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
359. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
360. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
361. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
